text,text_length,sentiment_polarity,emotion_intensity,positive_ratio,negative_ratio,valence,energy,danceability,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,emotion_label
"整理好行装 嗅着花的香
为了梦想我们在路上
雷声震天响雨下得疯狂
没有什么能把我们阻挡梦想的门就在前方
推开就是灿烂阳光
还有一份炫丽的辉煌
勇敢地向前方
乘着梦想的翅膀地太远天有多高
任凭我们自由翱翔
胜利就在前方
有梦你就有希望
开门大吉送吉祥
送吉祥眼里有爱 有爱你就有力量
脸上有笑 微笑你就不慌张
心中有梦 有梦你就有希望
中国吉祥 助我们实现梦想
梦想有门 开门大吉 吉运转起来
来到未来的舞台 你就是主宰
你的人生很精彩 全家乐开怀
出发就趁现在雷声震天响雨下得疯狂
没有什么能把我们阻挡梦想的门就在前方
推开就是灿烂阳光
还有一份炫丽的辉煌
勇敢地向前方
乘着梦想的翅膀地太远天有多高
任凭我们自由翱翔
胜利就在前方
有梦你就有希望
开门大吉送吉祥
送吉祥勇敢地向前方
乘着梦想的翅膀地太远天有多高
任凭我们自由翱翔
胜利就在前方
有梦你就有希望
开门大吉送吉祥
送吉祥",393,0.1484375,0.1796875,0.1484375,0.0,0.732,0.906,0.535,126.012,-4.699,0.0202,0.000715,0.0353,0.0886,happy
"走在寒冷下雪的夜空
卖着火柴温饱我的梦
一步步冰冻
一步步寂寞
人情寒冷冰冻我的手
一包火柴燃烧我的心
寒冷夜里挡不住前行
风刺我的脸
雪割我的口
拖着脚步还能走多久
有谁来买我的火柴
有谁将一根根希望全部点燃
有谁来买我的孤单
有谁来实现我想家的呼唤
每次点燃火柴微微光芒
看到希望看到梦想
看见天上的妈妈说话
她说你要勇敢你要坚强
不要害怕不要慌张
让你从此不必再流浪
每次点燃火柴微微光芒
看到希望看到梦想
看见天上的妈妈的说话
她说你要勇敢你要坚强
不要害怕不要慌张
让你从此不必再流浪
妈妈牵着你的手回家
睡在温暖花开的天堂",267,0.024390243902439,0.1829268292682926,0.073170731707317,0.048780487804878,0.618,0.665,0.641,200.388,-5.027,0.491,0.0,0.339,0.06,happy
"爱就是个奇迹
让我们在这里
如今夜般温暖 能完美这一刻
炽热的心愿谁在笑谁在奔跑
用生命成就永远
再没什么能阻拦
圣火点燃希望和灵感 为梦想的光芒
爱给我们力量
为和平而飞翔
每一次感动
都为热烈而绽放
为梦想的光芒
为今天来分享
为信念而歌唱
每一次感动
就是永恒的绽放梦想的光芒   2梦想的光芒",150,0.2,0.2666666666666666,0.2,0.0,0.741,0.514,0.697,144.175,-6.261,0.279,0.0,0.0384,0.089,happy
"我永远都爱这样的我快乐是
快乐的方式不只一种
最荣幸是
谁都是造物者的光荣
不用闪躲
为我喜欢的生活而活
不用粉墨
就站在光明的角落我就是我
是颜色不一样的烟火
天空海阔
要做最坚强的泡沫
我喜欢我
让蔷薇开出一种结果
孤独的沙漠里
一样盛放的赤裸裸多么高兴
在琉璃屋中快乐生活
对世界说
什么是光明和磊落",153,0.1363636363636363,0.1590909090909091,0.1363636363636363,0.0,0.852,0.512,0.66,133.607,-7.183,0.313,0.0,0.0294,0.283,happy
"每段充满天真的幻想
陪伴我们快乐成长
传奇城堡的魔杖怎么会飞在天上
数着星星一直等待到天亮
噢 哟罗哟喽 喂噢
哟罗哟罗 嘿
幻想就是那快乐的魔法棒
听那音符在欢唱 看那烟花在绽放
有神奇的智慧星 不停的闪亮
噢 嘀哩哩 嘀哩哩 唰啦啦
嘀 嘀哩 唰啦啦
快乐是能量就像七彩阳光
每天陪伴在你身旁
嘀 嘀哩 唰啦啦
嘀 嘀哩 唰啦啦
快乐是能量 就像七彩阳光
每天和你一起分享
噢 哟罗哟喽 喂噢
哟罗哟罗 嘿
幻想就是那快乐的魔法棒
听那音符在欢唱 看那烟花在绽放
还有神奇的智慧星 不停的闪亮
噢 嘀哩哩 嘀哩哩 唰啦啦
嘀 嘀哩 唰啦啦
快乐是能量就像七彩阳光
每天陪伴在你身旁
嘀 嘀哩 唰啦啦
嘀 嘀哩 唰啦啦
快乐是能量 就像七彩阳光
每天和你一起分享
嘀 嘀哩 唰啦啦
嘀 嘀哩 唰啦啦
快乐是能量 就像七彩阳光
每天陪伴在你身旁
嘀 嘀哩 唰啦啦
嘀 嘀哩 唰啦啦
快乐是能量 就像七彩阳光
每天和你一起分享",412,0.145631067961165,0.203883495145631,0.145631067961165,0.0,0.638,0.644,0.625,147.435,-8.801,0.357,0.0,0.0287,0.102,happy
"咬我一口 亲我一口
亲我一口 咬我一口是你紧紧抱着腿让我走
留住嘴让我笑
是你蒙上了眼睛让我看
也堵住耳朵让我听
绝望的时候
你给我希望
黑暗的时候
你给我阳光
孤独的时候
你给我力量
幸福时
你让我悲伤咬我一口 亲我一口
亲我一口 咬我一口咬我一口 亲我一口
亲我一口 咬我一口",140,0.0,0.2413793103448276,0.1034482758620689,0.1034482758620689,0.878,0.488,0.824,155.11,-9.112,0.242,8.09e-06,0.0669,0.109,happy
"我与你双眼神色中有变化
但谁都不知两对眼睛说话
我对你分隔无非我俩也怕
但旁观者不知你到我家
喜欢吗  喜欢吗
喜欢
喜欢
喜欢吗
爱吧
我与你此刻全身仿似野马
在缠扰不清跳跃间中乱爬
我与你整晚重复再变化
令神经中枢教我眼也花",114,0.1476074409426876,0.21533871729276802,0.16120792216981603,-0.00916251442349732,0.789,0.751,0.421,89.839,-9.584,0.2,0.0,0.0472,0.17,happy
"爱就是个奇迹
让我们在这里
如今夜般温暖 能完美这一刻
炽热的心愿谁在笑谁在奔跑
用生命成就永远
再没什么能阻拦
圣火点燃希望和灵感 为梦想的光芒
爱给我们力量
为和平而飞翔
每一次感动
都为热烈而绽放
为梦想的光芒
为今天来分享
为信念而歌唱
每一次感动
就是永恒的绽放梦想的光芒   2梦想的光芒",150,0.1681104995523823,0.2514271258217357,0.24476606658454103,-0.03163545692814504,0.683,0.695,0.657,65.997,-4.493,0.0108,0.0,0.0321,0.0822,happy
"咬我一口 亲我一口
亲我一口 咬我一口是你紧紧抱着腿让我走
留住嘴让我笑
是你蒙上了眼睛让我看
也堵住耳朵让我听
绝望的时候
你给我希望
黑暗的时候
你给我阳光
孤独的时候
你给我力量
幸福时
你让我悲伤咬我一口 亲我一口
亲我一口 咬我一口咬我一口 亲我一口
亲我一口 咬我一口",140,-0.09100354961170048,0.2666530687141612,0.042575018410453774,0.04652561894936229,0.715,0.776,0.838,155.059,-3.125,0.0435,0.000121,0.0933,0.0924,happy
"走在寒冷下雪的夜空
卖着火柴温饱我的梦
一步步冰冻
一步步寂寞
人情寒冷冰冻我的手
一包火柴燃烧我的心
寒冷夜里挡不住前行
风刺我的脸
雪割我的口
拖着脚步还能走多久
有谁来买我的火柴
有谁将一根根希望全部点燃
有谁来买我的孤单
有谁来实现我想家的呼唤
每次点燃火柴微微光芒
看到希望看到梦想
看见天上的妈妈说话
她说你要勇敢你要坚强
不要害怕不要慌张
让你从此不必再流浪
每次点燃火柴微微光芒
看到希望看到梦想
看见天上的妈妈的说话
她说你要勇敢你要坚强
不要害怕不要慌张
让你从此不必再流浪
妈妈牵着你的手回家
睡在温暖花开的天堂",267,0.022385460923057446,0.1522432433972999,0.0407515589520985,0.029005283681700193,0.769,0.758,0.904,120.615,-8.849,0.0334,0.0,0.123,0.324,happy
"我与你双眼神色中有变化
但谁都不知两对眼睛说话
我对你分隔无非我俩也怕
但旁观者不知你到我家
喜欢吗  喜欢吗
喜欢
喜欢
喜欢吗
爱吧
我与你此刻全身仿似野马
在缠扰不清跳跃间中乱爬
我与你整晚重复再变化
令神经中枢教我眼也花",114,0.1473552993559756,0.10667141130523991,0.16627770184549953,-0.04261140233083666,0.915,0.521,0.762,81.988,-9.076,0.0752,0.0,0.136,0.063,happy
"我永远都爱这样的我快乐是
快乐的方式不只一种
最荣幸是
谁都是造物者的光荣
不用闪躲
为我喜欢的生活而活
不用粉墨
就站在光明的角落我就是我
是颜色不一样的烟火
天空海阔
要做最坚强的泡沫
我喜欢我
让蔷薇开出一种结果
孤独的沙漠里
一样盛放的赤裸裸多么高兴
在琉璃屋中快乐生活
对世界说
什么是光明和磊落",153,0.16806263514763534,0.18911283724619926,0.1877710096284394,0.0062457008704740295,0.738,0.945,0.454,178.13,-4.284,0.000762,0.000162,0.157,0.371,happy
"月亮下
想到他
默默地
珠泪下
记起多少旧情话
每段往事升起沉下看流云
不说话
寂寞吧
苦闷吧
想起当天
月明下
两人含笑道傻话心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢 他知道否
我在想他心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢他呀他
那日归家
心里的他
快归来吧
这里才是快乐老家
这里才是快乐老家
这里才是快乐老家",229,0.09639964454130287,0.21244068803115806,0.20048453023221388,0.055755249298623424,0.722,0.637,0.832,103.036,-4.994,0.0334,0.0,0.0568,0.0653,happy
"月亮下
想到他
默默地
珠泪下
记起多少旧情话
每段往事升起沉下看流云
不说话
寂寞吧
苦闷吧
想起当天
月明下
两人含笑道傻话心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢 他知道否
我在想他心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢他呀他
那日归家
心里的他
快归来吧
这里才是快乐老家
这里才是快乐老家
这里才是快乐老家",229,0.14953768921745983,0.052191106563674455,0.13544764809444,0.016424736655041666,0.755,0.599,0.755,133.123,-5.042,0.147,0.0,0.224,0.109,happy
"枯れ堕ちていた花が芽吹いて
幻想ゆめの季节が色を増す
手招きをする眩しい影は
光と闇のどちらへ诱うの渇いた心はきっと
涙を探して迷う
どこまで歩くの 茨の坂道を幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片がそれでも光るなら
この场所で誓うよ
幻想ゆめの果てまででも 君と真っ白い花 闇に咲くなら
揺れる姿も隠れてしまうの过ち数えてそっと
影踏み歩いて嗤う
壊れた心に 悲しみのないように抱き寄せる记忆の 明日よ消えないで
届かずに消えた言叶は祈り
希望の彼方からそれでも歌うなら
きっとまた出会える
始まりに伫む 君と飞べない鸟たちは愿った この空が消え去るように
君はあの星に愿った この空が続くように
手招きする影 答えを教えてはくれないだろう
たった一つだけ在るのは 頼りのない意志こころだったその手に触れたなら 溢れ出す爱でも
せめて今は忘れさせて
いつか幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片はきっと辉くから
いつかまた出会うの
幻想ゆめの中微笑む 君と",453,-0.00677116513031356,0.09647884131422915,0.18303731717422667,0.11127662523763326,0.659,0.535,0.67,127.017,-11.08,0.0867,0.836,0.0422,0.0522,happy
"我喜欢看你 认真的表情
在下午三点 的自习室里
我喜欢看你 傻笑的表情
粉红的嘴唇 像一片风景你说你喜欢 夜空的流星
许下的心愿 一定会实现
能不能让我 做你的朋友
拥有你的快乐和忧愁你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙
这是一个美好的开始你说你喜欢 夜空的流星
许下的心愿 一定会实现
能不能让我 做你的朋友
拥有你的快乐和忧愁你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙收藏青春的钥匙
收藏青春的钥匙",435,0.06704520775506803,0.2538374921602528,0.12891353241609196,0.021828285617948112,0.735,0.78,0.765,98.051,-6.566,0.214,0.0,0.0797,0.108,happy
"爱就是个奇迹
让我们在这里
如今夜般温暖 能完美这一刻
炽热的心愿谁在笑谁在奔跑
用生命成就永远
再没什么能阻拦
圣火点燃希望和灵感 为梦想的光芒
爱给我们力量
为和平而飞翔
每一次感动
都为热烈而绽放
为梦想的光芒
为今天来分享
为信念而歌唱
每一次感动
就是永恒的绽放梦想的光芒   2梦想的光芒",150,0.2092576186301009,0.23126057603588496,0.15438219501403055,-0.022903273979350408,0.783,0.887,0.552,125.229,-3.812,0.0457,0.0207,0.147,0.0903,happy
"月亮下
想到他
默默地
珠泪下
记起多少旧情话
每段往事升起沉下看流云
不说话
寂寞吧
苦闷吧
想起当天
月明下
两人含笑道傻话心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢 他知道否
我在想他心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢他呀他
那日归家
心里的他
快归来吧
这里才是快乐老家
这里才是快乐老家
这里才是快乐老家",229,0.19817833306056903,0.14975134642435448,0.134597076634047,0.03348994023358601,0.835,0.577,0.798,128.82,-10.347,0.0234,0.00112,0.0777,0.0728,happy
"如果有一天
阳光不见了
世界会变冷
什么也看不到如果有一天
小雨不下了
水儿不再流
花儿也凋谢了因为我们心中
藏着有一份爱
所以阳光和小雨
会与我们同在爱就是阳光
爱就是小雨
阳光和小雨
离不开我和你因为我们心中
藏着有一份爱
所以阳光和小雨
会与我们同在爱就是阳光
爱就是小雨
阳光和小雨
离不开我和你",152,0.09678193318741521,0.08597616079321177,0.18293345804913122,0.018360737618044912,0.682,0.686,0.685,94.188,-6.311,0.0036,0.0,0.292,0.0959,happy
"如果有一天
阳光不见了
世界会变冷
什么也看不到如果有一天
小雨不下了
水儿不再流
花儿也凋谢了因为我们心中
藏着有一份爱
所以阳光和小雨
会与我们同在爱就是阳光
爱就是小雨
阳光和小雨
离不开我和你因为我们心中
藏着有一份爱
所以阳光和小雨
会与我们同在爱就是阳光
爱就是小雨
阳光和小雨
离不开我和你",152,0.14572189575637456,0.19940554406466643,0.1739846176668671,0.05737307490942788,0.755,0.515,0.864,129.048,-6.967,0.571,7.92e-05,0.0367,0.0947,happy
"咬我一口 亲我一口
亲我一口 咬我一口是你紧紧抱着腿让我走
留住嘴让我笑
是你蒙上了眼睛让我看
也堵住耳朵让我听
绝望的时候
你给我希望
黑暗的时候
你给我阳光
孤独的时候
你给我力量
幸福时
你让我悲伤咬我一口 亲我一口
亲我一口 咬我一口咬我一口 亲我一口
亲我一口 咬我一口",140,-0.008593151087834565,0.2712294766480809,0.05168233548296421,0.083646665136931,0.627,0.654,0.754,95.987,-5.291,0.00158,0.035,0.0331,0.137,happy
"枯れ堕ちていた花が芽吹いて
幻想ゆめの季节が色を増す
手招きをする眩しい影は
光と闇のどちらへ诱うの渇いた心はきっと
涙を探して迷う
どこまで歩くの 茨の坂道を幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片がそれでも光るなら
この场所で誓うよ
幻想ゆめの果てまででも 君と真っ白い花 闇に咲くなら
揺れる姿も隠れてしまうの过ち数えてそっと
影踏み歩いて嗤う
壊れた心に 悲しみのないように抱き寄せる记忆の 明日よ消えないで
届かずに消えた言叶は祈り
希望の彼方からそれでも歌うなら
きっとまた出会える
始まりに伫む 君と飞べない鸟たちは愿った この空が消え去るように
君はあの星に愿った この空が続くように
手招きする影 答えを教えてはくれないだろう
たった一つだけ在るのは 頼りのない意志こころだったその手に触れたなら 溢れ出す爱でも
せめて今は忘れさせて
いつか幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片はきっと辉くから
いつかまた出会うの
幻想ゆめの中微笑む 君と",453,0.08854249704706729,0.18225277428261244,0.11606888592506726,0.13433408161131205,0.853,0.689,0.828,123.931,-7.878,0.325,0.0384,0.0326,0.0808,happy
"我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友’       ’
’
’           ’      ’
’
’ ’
’  ’
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友
’
’
’
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友   ’
‘   ‘
’    ’
’           ’
‘   ‘
’    ’
’
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友",354,0.1401698553987099,0.1182493102866155,0.21751442173315944,0.02687466200257172,0.778,0.786,0.861,104.017,-3.833,0.485,2.44e-05,0.229,0.113,happy
"我永远都爱这样的我快乐是
快乐的方式不只一种
最荣幸是
谁都是造物者的光荣
不用闪躲
为我喜欢的生活而活
不用粉墨
就站在光明的角落我就是我
是颜色不一样的烟火
天空海阔
要做最坚强的泡沫
我喜欢我
让蔷薇开出一种结果
孤独的沙漠里
一样盛放的赤裸裸多么高兴
在琉璃屋中快乐生活
对世界说
什么是光明和磊落",153,0.14938892081872962,0.09315343301798165,0.12039182458981357,0.06937060234176409,0.92,0.711,0.718,173.916,-5.746,0.157,5.54e-05,0.11,0.1,happy
"枯れ堕ちていた花が芽吹いて
幻想ゆめの季节が色を増す
手招きをする眩しい影は
光と闇のどちらへ诱うの渇いた心はきっと
涙を探して迷う
どこまで歩くの 茨の坂道を幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片がそれでも光るなら
この场所で誓うよ
幻想ゆめの果てまででも 君と真っ白い花 闇に咲くなら
揺れる姿も隠れてしまうの过ち数えてそっと
影踏み歩いて嗤う
壊れた心に 悲しみのないように抱き寄せる记忆の 明日よ消えないで
届かずに消えた言叶は祈り
希望の彼方からそれでも歌うなら
きっとまた出会える
始まりに伫む 君と飞べない鸟たちは愿った この空が消え去るように
君はあの星に愿った この空が続くように
手招きする影 答えを教えてはくれないだろう
たった一つだけ在るのは 頼りのない意志こころだったその手に触れたなら 溢れ出す爱でも
せめて今は忘れさせて
いつか幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片はきっと辉くから
いつかまた出会うの
幻想ゆめの中微笑む 君と",453,0.09886993915126001,0.17795620985766633,0.10499858821802026,0.13069234377229755,0.933,0.82,0.547,118.208,-6.728,0.261,0.0,0.0805,0.3,happy
"我喜欢看你 认真的表情
在下午三点 的自习室里
我喜欢看你 傻笑的表情
粉红的嘴唇 像一片风景你说你喜欢 夜空的流星
许下的心愿 一定会实现
能不能让我 做你的朋友
拥有你的快乐和忧愁你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙
这是一个美好的开始你说你喜欢 夜空的流星
许下的心愿 一定会实现
能不能让我 做你的朋友
拥有你的快乐和忧愁你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙收藏青春的钥匙
收藏青春的钥匙",435,0.06334216947350266,0.13027057021905078,0.10837260107117264,0.07530767840471693,0.747,0.981,0.452,180.016,-5.613,0.000839,8.02e-06,0.0476,0.243,happy
"需要阳光宝贝
我的向日葵
只在阳光下灿烂
善于激情中优美
我说阳光会不见
你说你不后悔
阳光像往常一样消失
你像我想像般中憔悴
我错了
希望月亮带给你安慰
你说你
要的不是这种光辉  我错了
希望月亮带给你安慰
需要阳光的宝贝啊
别气我不懂
别向我示威
无论我多想是个太阳
却只是另一株向日葵 阳光下的宝贝 格外耀眼 阳光下的笑脸 略显疲惫",170,0.12340446368904989,0.1994410410252702,0.13110006016851675,-0.0031016502345222394,0.684,0.564,0.737,140.075,-8.293,0.301,0.0,0.316,0.0985,happy
