title,artist,album,genre,emotion_label,valence,energy,danceability,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
You Give Good Love,Whitney Houston,Whitney Houston,rock,calm,0.534,0.365,0.559,74.802,-13.654,0.686,0.0,0.0332,0.0771
Qué Será,Leslie Grace,Qué Será,latin,energetic,0.426,0.797,0.774,93.005,-4.053,0.0948,0.0,0.0823,0.148
Right Here Waiting,Richard Marx,Repeat Offender,pop,sad,0.126,0.252,0.395,177.679,-13.589,0.8,0.0,0.0301,0.101
Every Little Thing I Do - Remix,Soul For Real,"The New Jack Swing Collection, Vol. 2",r&b,happy,0.778,0.524,0.811,98.929,-7.81,0.464,2.05e-06,0.0539,0.0635
Crystal Ship,soder.,Dreams of Dawn,latin,happy,0.615,0.696,0.642,87.024,-11.218,0.95,0.0202,0.0393,0.176
Tempted To Touch (feat. Rupee),Zaeden,Tempted To Touch (feat. Rupee),latin,energetic,0.577,0.674,0.751,107.889,-7.367,0.0184,0.0,0.072,0.11
From the Radio,Danny Boone,Fish Grease,rap,happy,0.713,0.716,0.64,140.019,-5.508,0.014,0.0,0.0362,0.283
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,latin,happy,0.718,0.457,0.686,150.953,-8.322,0.595,0.0,0.0468,0.105
Never Be Alone (feat. Aloe Blacc),David Guetta,Never Be Alone (feat. Aloe Blacc),pop,happy,0.732,0.906,0.535,126.012,-4.699,0.0202,0.000715,0.0353,0.0886
Sensitivity,Ralph Tresvant,20 #1's: 90's R&B,r&b,happy,0.716,0.779,0.692,96.962,-9.085,0.136,0.467,0.0449,0.0802
distance,Nohidea,distance,rap,sad,0.251,0.206,0.563,158.148,-18.479,0.753,0.822,0.121,0.0841
Cuando Te Besé,Becky G,Cuando Te Besé,latin,energetic,0.295,0.732,0.772,100.048,-3.713,0.307,5.14e-06,0.213,0.106
In My Dreams - Short Edit,DJ Antoine,In My Dreams,edm,calm,0.513,0.596,0.779,129.952,-5.583,0.028,0.00119,0.0559,0.183
Função,L7NNON,Função,rap,sad,0.267,0.495,0.857,128.898,-9.55,0.0167,0.000164,0.264,0.0986
breathin,Ariana Grande,Sweetener,pop,sad,0.364,0.656,0.568,100.049,-5.413,0.0211,1.37e-05,0.0433,0.213
Purgatory,Ryllz,Purgatory,edm,energetic,0.654,0.895,0.698,180.027,-5.062,0.152,0.569,0.369,0.32
Cosmic Waves - Original Mix,Hell Driver,Cosmic Waves,edm,energetic,0.239,0.959,0.602,127.995,-7.36,0.0153,0.799,0.0493,0.0934
Faithful,Sean C. Johnson,Simply a Vessel Vol 2: Faithful,r&b,calm,0.534,0.311,0.653,77.103,-16.351,0.333,0.000637,0.0341,0.115
My Phone,Jodeci,Forever My Lady,r&b,energetic,0.63,0.797,0.723,111.977,-11.597,0.0348,0.0,0.0592,0.465
Big Shot,Billy Joel,52nd Street,rock,happy,0.728,0.737,0.52,149.861,-11.715,0.156,7.55e-06,0.0972,0.0866
Redbone,Childish Gambino,Redbone,r&b,calm,0.575,0.372,0.743,160.07,-10.459,0.194,0.014,0.132,0.12
"Top Hat, White Tie and Tails - Radio Edit",Ashley Slater,"Top Hat, White Tie and Tails (Electro Swing)",edm,happy,0.796,0.856,0.658,204.058,-4.207,0.262,3.93e-06,0.232,0.116
I Was Made For Lovin' You,KISS,Greatest Kiss,rock,happy,0.886,0.847,0.771,128.385,-6.216,0.21,6.45e-05,0.0383,0.0759
Pusherman,Curtis Mayfield,Superfly: Deluxe 25th Anniversary Edition,r&b,happy,0.911,0.669,0.851,126.624,-9.562,0.239,0.0852,0.0379,0.108
Ballin' Parlay,Big Pokey,Hardest Pit in the Litter,rap,energetic,0.521,0.66,0.763,90.023,-6.79,0.611,0.0,0.124,0.346
NGC 6236,Toonorth,Adomania,rap,calm,0.705,0.254,0.484,148.463,-7.54,0.658,0.909,0.274,0.121
Pew Da Pow,Corx,Pew Da Pow,edm,calm,0.446,0.535,0.892,128.037,-3.42,0.00211,0.0136,0.147,0.1
Mammoth - Original,"Dimitri Vegas, Moguai & Like Mike",Mammoth,edm,energetic,0.455,0.849,0.634,128.004,-5.98,0.00123,0.216,0.335,0.37
Obstacle 1,Interpol,Turn On The Bright Lights,rock,sad,0.382,0.941,0.381,120.533,-4.91,5.08e-05,0.523,0.0624,0.0708
If You Wanna Leave,Thorbjørn Risager,Too Many Roads,rap,energetic,0.532,0.884,0.572,128.931,-2.299,0.305,0.616,0.0855,0.325
Constant Surprises,Little Dragon,Little Dragon,r&b,happy,0.684,0.63,0.651,58.063,-5.965,0.0378,0.189,0.0605,0.081
Untitled 1 - Version,Unknown Artist,Irradial#03,edm,calm,0.504,0.585,0.825,126.014,-11.842,0.014,0.946,0.0595,0.0731
Poetry,The RH Factor,Hard Groove,r&b,sad,0.398,0.511,0.757,90.009,-10.43,0.199,0.106,0.143,0.143
Instant Crush,Daft Punk,Random Access Memories,pop,calm,0.518,0.585,0.775,109.942,-9.516,0.0422,0.619,0.0271,0.077
Follow Your Heart,Scorpions,Born To Touch Your Feelings - Best of Rock Ballads,rock,sad,0.195,0.656,0.353,153.747,-5.712,0.0431,0.000161,0.0319,0.139
Space,Julian Jeweil,Space,edm,energetic,0.0518,0.782,0.619,124.996,-8.004,0.000728,0.927,0.0534,0.692
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,r&b,sad,0.346,0.625,0.335,150.277,-7.462,0.164,0.0,0.0386,0.0708
Jack The Mack,Charizma & Peanut Butter Wolf,Big Shots,r&b,happy,0.835,0.628,0.778,97.908,-8.858,0.0311,0.0,0.278,0.15
george,Arlo Parks,George,r&b,calm,0.539,0.394,0.677,96.985,-7.278,0.672,0.000124,0.0304,0.129
Life Is Real (Song For Lennon) - Remastered 2011,Queen,Hot Space (2011 Remaster),rock,sad,0.345,0.447,0.571,80.699,-8.303,0.613,0.0,0.0246,0.07
ЧП,N1NT3ND0,N1NT3ND0,rap,calm,0.587,0.433,0.847,80.036,-5.846,0.116,0.0,0.771,0.384
Piano Man,Billy Joel,The Essential Billy Joel,pop,calm,0.431,0.472,0.334,179.167,-8.792,0.6,3.77e-06,0.0277,0.317
Dynamite,Taio Cruz,Rokstarr,latin,happy,0.818,0.804,0.754,119.968,-3.177,0.00332,0.0,0.0853,0.0329
It's You,Rique,It's You,edm,calm,0.43,0.592,0.776,123.017,-7.507,0.191,0.464,0.0765,0.138
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,latin,energetic,0.47,0.698,0.652,96.021,-4.667,0.00112,0.000115,0.042,0.0886
Broken Arrows,Avicii,Stories,pop,sad,0.298,0.674,0.634,115.995,-7.145,0.0487,0.00116,0.0465,0.102
You Say,Lauren Daigle,You Say,pop,sad,0.1,0.637,0.494,147.924,-6.381,0.669,0.0,0.0333,0.0882
Housebeat - Original Mix,Spencer & Hill,Spencer & Hill EP,edm,energetic,0.409,0.897,0.829,128.004,-7.459,0.0119,0.694,0.139,0.377
On Bended Knee,Boyz II Men,Motown Number 1's Vol. 2,r&b,sad,0.183,0.459,0.636,116.628,-10.313,0.392,0.0,0.0366,0.113
The Violence - Sikdope Remix,Asking Alexandria,The Violence (Sikdope Remix),edm,sad,0.0335,0.962,0.578,150.059,-2.645,0.00629,0.0403,0.0511,0.276
badwine - Remix,Feid,badwine (Remix),latin,happy,0.722,0.708,0.731,186.003,-6.659,0.473,0.00486,0.167,0.112
Friday I'm in Love,The Cure,Wish,rock,energetic,0.505,0.762,0.526,136.203,-12.437,0.000972,0.000116,0.0342,0.338
Mister Glassman,Scotty Sire,Ruin Your Party,pop,calm,0.504,0.478,0.886,118.02,-6.83,0.206,1.4e-05,0.051,0.392
Steuerfrei & Illegal,Fard,Steuerfrei & Illegal,rap,happy,0.715,0.72,0.669,94.967,-6.686,0.385,0.0,0.244,0.142
Hollywood Swinging,Kool & The Gang,Wild And Peaceful,r&b,energetic,0.574,0.824,0.623,111.356,-8.971,0.0195,0.13,0.0479,0.0491
Panini,Lil Nas X,Panini,pop,calm,0.475,0.594,0.703,153.848,-6.146,0.342,0.0,0.0752,0.123
Wasted,Noize Generation,Wasted,edm,energetic,0.552,0.823,0.694,118.108,-4.652,0.0243,0.0,0.201,0.275
County of Kings,Fran Lover,County of Kings,r&b,happy,0.802,0.918,0.649,92.073,-3.396,0.156,0.0,0.322,0.115
Es Por Ti - MTV Unplugged,Juanes,Tr3s Presents Juanes MTV Unplugged,latin,sad,0.265,0.532,0.56,120.161,-8.341,0.656,0.0,0.0411,0.706
You & Me,Mia X,Unlady Like,rap,calm,0.54,0.474,0.663,159.849,-10.111,0.00435,0.0292,0.151,0.137
2 On,Tinashe,Aquarius,r&b,calm,0.431,0.595,0.742,101.013,-7.51,0.15,0.0,0.107,0.111
I Refuse,Matt Strike,I Refuse,pop,sad,0.175,0.651,0.568,82.318,-6.255,0.205,1.01e-06,0.0925,0.0444
Just Friends (Sunny),Musiq Soulchild,Aijuswanaseing,r&b,calm,0.547,0.372,0.748,95.033,-7.577,0.439,0.0,0.173,0.366
Algo Me Gusta De Ti,Wisin & Yandel,Líderes,latin,energetic,0.237,0.768,0.627,127.953,-5.296,0.00291,0.0,0.0325,0.0598
Ain't My Fault - R3hab Remix,Zara Larsson,Ain't My Fault (R3hab Remix),rap,energetic,0.613,0.847,0.67,150.109,-3.723,0.0156,0.0,0.043,0.22
Temes,iLe,Almadura,latin,calm,0.518,0.221,0.677,96.038,-13.398,0.754,0.000192,0.0461,0.115
Grave Bate,3 Tenores,Grave Bate,rap,calm,0.417,0.456,0.887,121.01,-8.192,0.389,0.0,0.145,0.104
Tha Crossroads,Bone Thugs-N-Harmony,E. 1999 Eternal,rap,calm,0.534,0.509,0.679,144.29,-7.31,0.0856,0.0,0.0617,0.438
Daylight (Airbeat One Anthem 2018),Fluex,Daylight (Airbeat One Anthem 2018),pop,energetic,0.353,0.939,0.631,128.048,-1.7,0.0728,0.000187,0.0398,0.319
Play,Jax Jones,Play,pop,energetic,0.607,0.768,0.771,125.023,-7.773,0.0266,1.26e-05,0.0451,0.426
This Place,Logan Pollard,This Place,pop,calm,0.572,0.33,0.495,140.061,-12.215,0.391,0.000157,0.119,0.0844
Juicy,The RH Factor,Hard Groove,r&b,calm,0.512,0.343,0.606,74.637,-12.022,0.596,0.524,0.0492,0.529
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,pop,happy,0.969,0.813,0.866,121.998,-4.063,0.38,0.0,0.0554,0.0779
Paris Café,$IFRA,Paris Café,rap,sad,0.101,0.423,0.793,86.971,-8.165,0.247,0.0,0.469,0.0873
Thumb,M Huncho,Thumb,r&b,calm,0.499,0.538,0.897,115.018,-8.329,0.0635,0.0,0.0878,0.155
Who Would've Thought,Green Tea,Dosage II: Choices,r&b,calm,0.593,0.554,0.683,92.008,-8.323,0.0368,0.0,0.164,0.079
Cardiac Arrest,Bad Suns,Language & Perspective,pop,happy,0.751,0.88,0.616,94.011,-3.59,0.0521,0.000717,0.042,0.0539
Ven Conmigo,Daddy Yankee,Prestige,latin,happy,0.71,0.842,0.781,120.054,-5.334,0.102,0.0,0.0403,0.0657
Show Me Love (Infinity Remix),Jack Holiday,Show Me Love,edm,energetic,0.52,0.67,0.696,129.996,-6.366,0.00124,0.00906,0.0826,0.0645
La soledad - Versión 2001,Laura Pausini,Lo mejor de Laura Pausini - Volveré junto a ti,latin,sad,0.218,0.349,0.593,124.046,-6.894,0.722,0.0,0.0284,0.133
Best Day Of My Life,American Authors,"Oh, What A Life",pop,energetic,0.516,0.905,0.67,100.021,-2.385,0.0625,0.000151,0.0339,0.0577
Las Pequeñas Cosas,Jotdog,Jotdog,pop,happy,0.975,0.903,0.613,159.978,-4.992,0.105,0.127,0.0359,0.0757
Novocaine,Valentino Khan,Novocaine,edm,happy,0.731,0.977,0.674,169.92,-2.554,0.00705,0.794,0.109,0.11
Get What You Give,Felix Cartal,Get What You Give,pop,energetic,0.247,0.767,0.619,121.04,-5.926,0.0155,0.0,0.0358,0.12
Rumors,Lindsay Lohan,Speak,pop,happy,0.888,0.784,0.883,115.006,-5.646,0.0171,0.0143,0.0533,0.333
Higher Place (feat. Ne-Yo) - Afrojack Remix,Dimitri Vegas & Like Mike,Higher Place (Afrojack Remix),edm,happy,0.601,0.598,0.567,127.988,-9.925,0.319,0.00114,0.0503,0.0888
Yo Se Que Tu Quieres (feat. Ñengo Flow),Sammy & Falsetto,Yo Se Que Tu Quieres (feat. Ñengo Flow),latin,happy,0.896,0.798,0.627,180.051,-4.746,0.297,0.0,0.112,0.133
Dancing in the Moonlight,Jubël,Dancing in the Moonlight,latin,sad,0.187,0.617,0.659,119.858,-5.862,0.27,0.0,0.0649,0.187
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,JACKBOYS,latin,sad,0.114,0.491,0.559,153.131,-6.406,0.0567,0.0,0.0346,0.0992
I Love Rock N' Roll,Jane Ashton,DISCO ROCK '80,rock,calm,0.656,0.303,0.838,95.024,-12.355,0.081,0.0,0.0368,0.0392
Ignition - Remix,R. Kelly,Chocolate Factory,r&b,happy,0.855,0.523,0.795,133.024,-7.165,0.061,0.0,0.0423,0.0914
Just Friends - Original Mix,Dj Geducht,Goodbye Love,edm,energetic,0.16,0.775,0.663,127.97,-4.517,0.105,0.00356,0.0384,0.371
Walk Thru Fire,Vicetone,Walk Thru Fire,edm,sad,0.351,0.664,0.639,116.028,-4.926,0.329,1.53e-06,0.0357,0.382
Down,Jay Sean,All Or Nothing,pop,happy,0.683,0.695,0.657,65.997,-4.493,0.0108,0.0,0.0321,0.0822
"The Rain, The Park & Other Things - Single Version",The Cowsills,The Best Of The Cowsills,rock,energetic,0.543,0.699,0.282,63.593,-9.433,0.722,0.00369,0.0468,0.493
Everything's Out In the Open,Johnnie Taylor,In Control,rap,calm,0.442,0.361,0.535,75.795,-16.82,0.441,1.25e-05,0.0542,0.317
If I Ever Fall In Love,Shai,If I Ever Fall In Love,r&b,calm,0.42,0.205,0.402,143.994,-11.232,0.758,0.0,0.038,0.147
Hold On (feat. Michel Zitron),Martin Garrix,Hold On (feat. Michel Zitron),edm,sad,0.321,0.711,0.422,128.066,-4.809,0.0176,0.0,0.0385,0.559
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),r&b,sad,0.183,0.575,0.459,111.881,-4.858,0.604,0.0,0.0573,0.0885
If I Can't Have You - Gryffin Remix,Shawn Mendes,If I Can't Have You (Gryffin Remix),edm,energetic,0.59,0.818,0.642,124.957,-4.552,0.0567,0.0,0.032,0.0919
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),rap,energetic,0.586,0.697,0.86,129.978,-4.727,0.102,0.0,0.0718,0.159
Only Child,Tierra Whack,Only Child,pop,calm,0.802,0.365,0.826,85.244,-7.024,0.849,3.8e-06,0.0412,0.186
Ptak,Deemz,Ptak,rap,energetic,0.645,0.755,0.784,145.066,-6.581,0.528,0.0,0.134,0.276
Welcome to Guadalajara,Little el Crack,El Rompe Huesos,rap,happy,0.804,0.776,0.715,173.063,-5.266,0.117,0.0,0.349,0.127
"Short Skirt, Bare Knees",Tyler Boone,"Short Skirt, Bare Knees",rock,sad,0.243,0.976,0.379,176.093,-5.856,4.22e-06,0.406,0.156,0.267
Shout at the Devil,Mötley Crüe,The Greatest Hits,rock,energetic,0.503,0.956,0.505,94.969,-4.62,0.0184,0.000176,0.0798,0.103
Without Me,Halsey,Without Me,pop,calm,0.533,0.488,0.752,136.041,-7.05,0.297,9.11e-06,0.0705,0.0936
Cause the World Is Small,Brothers Page,Back to You,rock,calm,0.47,0.494,0.521,77.305,-9.82,0.148,0.00121,0.0275,0.113
Just What I Like,Michael Cooper,Just What I Like,r&b,happy,0.807,0.836,0.722,107.189,-11.293,0.151,0.000178,0.083,0.393
Sandalan,6cyclemind,Panorama,rock,happy,0.783,0.84,0.484,139.952,-5.509,0.104,0.0,0.0315,0.114
Ganitas,Rombai,Ganitas,latin,happy,0.806,0.772,0.749,173.737,-5.13,0.535,1.32e-06,0.0667,0.0803
90 BPM,Luke Helmond,90 BPM,edm,sad,0.271,0.621,0.428,90.025,-5.675,0.014,0.0,0.0339,0.0906
al pasito/timeless,n o r m a l,al pasito timeless,rap,calm,0.858,0.193,0.576,86.01,-18.66,0.659,0.473,0.865,0.154
"All the Times (feat. Faith Evans, Coko & Missy Elliott)",LSG,Levert.Sweat.Gill,r&b,calm,0.473,0.42,0.732,137.45,-6.867,0.0687,1.28e-06,0.0514,0.289
Amiga,Pol Del Sur,Efectos Espaciales,pop,calm,0.463,0.571,0.779,120.003,-6.847,0.182,0.00345,0.0286,0.0978
Realidad,Khea,Realidad,rap,calm,0.46,0.519,0.729,120.059,-3.843,0.406,0.0,0.0292,0.196
She's Mine Pt. 1,J. Cole,4 Your Eyez Only,r&b,sad,0.0485,0.21,0.436,139.744,-15.099,0.759,0.115,0.0659,0.258
Bad Day,Daniel Powter,Daniel Powter (U.S. Release),rock,energetic,0.52,0.785,0.599,140.046,-4.013,0.448,0.00336,0.0309,0.151
Ghetto Man,Marvin Sease,Marvin Sease,rap,calm,0.551,0.438,0.5,177.442,-11.644,0.482,0.0,0.0638,0.0996
Turnin' Me Up,BJ The Chicago Kid,In My Mind,r&b,happy,0.843,0.776,0.734,78.542,-4.193,0.0406,0.193,0.0826,0.0547
Best Friend,Brandy,Brandy,r&b,calm,0.557,0.49,0.696,179.825,-6.631,0.155,0.000351,0.0347,0.0563
숙녀 (淑女) Lady,Yubin,都市女子,r&b,happy,0.847,0.973,0.473,119.81,-3.378,0.234,5.07e-05,0.17,0.4
Lonely,Carson Lueders,Lonely,edm,happy,0.763,0.657,0.765,116.985,-4.946,0.0102,0.0,0.0401,0.194
Crawl Outta Love,ILLENIUM,Awake,edm,sad,0.167,0.723,0.376,84.146,-2.951,0.178,0.0,0.046,0.0815
Muriendo - Remix,Salah,Muriendo (Remix),latin,energetic,0.693,0.822,0.75,89.997,-3.75,0.0883,0.00558,0.0394,0.118
Countdown - Original Mix,Hardwell,Countdown,edm,energetic,0.207,0.977,0.769,128.005,-2.703,0.0688,0.89,0.0969,0.0778
Tattoos Together,Lauv,~how i'm feeling~,edm,calm,0.596,0.4,0.862,122.963,-7.486,0.00575,7.49e-06,0.0736,0.123
Mentira,Joniel El Lethal,Mentira,latin,happy,0.73,0.718,0.715,96.061,-6.794,0.33,0.0033,0.225,0.0752
Loco por Volverte a Ver,Chili Fernandez,"Amor, Familia y Respeto",latin,happy,0.912,0.661,0.812,87.023,-8.139,0.31,0.0,0.0696,0.0925
Clarity,Zedd,Clarity,latin,sad,0.187,0.78,0.523,128.003,-3.378,0.0376,0.0,0.0748,0.0751
Тартар,Blvckross,R.O.S.S.,rap,energetic,0.504,0.699,0.484,118.173,-7.058,0.0272,0.000477,0.162,0.356
Dull Days,Robbers,Endless Perspectives,rock,energetic,0.425,0.641,0.557,111.962,-7.614,0.00733,0.00964,0.0324,0.113
Some Say - Felix Jaehn Remix,Nea,Some Say (Felix Jaehn Remix),edm,happy,0.637,0.7,0.682,120.03,-5.591,0.406,0.0,0.0397,0.174
Away with the Fairies,Philanthrope,Away with the Fairies,rap,calm,0.661,0.232,0.886,130.015,-9.919,0.247,0.906,0.4,0.114
A Horse with No Name,America,America,rock,happy,0.831,0.506,0.654,123.179,-17.18,0.686,0.0155,0.0535,0.155
Summertime,Musqitone,Summertime,rap,calm,0.63,0.396,0.775,140.05,-11.987,0.381,0.908,0.0886,0.113
Giving You The Benefit,Pebbles,Always,r&b,happy,0.931,0.8,0.706,103.074,-10.496,0.144,0.00137,0.0468,0.0998
Superlove (Avicii vs. Lenny Kravitz) - Radio Edit,Avicii,Running Songs: The Collection,edm,happy,0.968,0.951,0.601,127.959,-3.138,0.271,0.84,0.0426,0.146
FYI,THE HARA,FYI,rock,energetic,0.44,0.847,0.393,90.861,-5.96,0.0336,0.00462,0.0589,0.312
Salida 3 - Live,Miguel Rios,Rock & Rios (Remastered),rock,sad,0.227,0.956,0.431,96.801,-12.742,0.00215,0.668,0.0339,0.122
Surfer,Be Vis,Surfer,rap,calm,0.556,0.535,0.832,120.008,-10.714,0.143,0.0,0.194,0.246
7 Years,Lukas Graham,Lukas Graham,latin,sad,0.34,0.473,0.765,119.992,-5.829,0.287,0.0,0.0514,0.391
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,Floor Seats,r&b,calm,0.448,0.597,0.737,92.049,-7.333,0.292,0.0,0.118,0.13
Tenemos Que Hablar,Bad Bunny,X 100PRE,latin,sad,0.144,0.512,0.855,146.075,-8.165,0.146,0.000854,0.0534,0.107
Slow Motion,Don Omar,Don Omar Presents MTO2: New Generation,latin,energetic,0.695,0.842,0.736,180.014,-4.919,0.0869,0.0,0.222,0.0382
How You Gonna Act Like That,Tyrese,I Wanna Go There,r&b,calm,0.525,0.521,0.733,112.913,-3.657,0.107,0.0,0.0457,0.0692
Sunset Lover,Petit Biscuit,Presence,rap,sad,0.251,0.525,0.785,90.853,-7.556,0.669,0.439,0.042,0.114
No Van Pal Baile,Portavoz,No Van Pal Baile,latin,happy,0.825,0.773,0.751,91.021,-6.465,0.155,0.0,0.275,0.115
Red Virgin Soil,Agnes Obel,Citizen of Glass,pop,calm,0.778,0.292,0.709,110.225,-16.544,0.776,0.896,0.0314,0.11
Hookah & Sheridan s,Tommy Boysen,Hookah & Sheridan s,latin,calm,0.491,0.528,0.809,103.923,-6.886,0.353,5.86e-06,0.12,0.0897
So F**kin' Romantic - Tim Gunter Remix,Matthew Koma,So F**kin' Romantic (The Remixes),pop,energetic,0.483,0.798,0.669,139.938,-4.72,0.00701,0.017,0.0591,0.0755
Ransom,Lil Tecca,We Love You Tecca,latin,sad,0.226,0.642,0.745,179.974,-6.257,0.0204,0.0,0.287,0.0658
Poison,Bell Biv DeVoe,Gold,r&b,happy,0.65,0.652,0.845,111.904,-7.504,0.00432,0.00723,0.216,0.489
That Night,Indyah,That Night,pop,sad,0.374,0.493,0.73,105.036,-7.656,0.201,7.11e-05,0.0419,0.0562
Pintura,Yoky Barrios,Figura Pública,rap,happy,0.741,0.695,0.81,87.048,-6.21,0.159,0.0,0.387,0.32
Tokyo,Drevm,Tokyo,rap,calm,0.406,0.349,0.715,85.302,-10.519,0.732,0.715,0.251,0.0725
3000,Jeffrey Eli,3000,edm,sad,0.327,0.531,0.589,75.015,-7.961,0.133,0.00119,0.029,0.208
Lucky Star,Faul & Wad Ad,Lucky Star,edm,happy,0.769,0.886,0.671,125.008,-5.959,0.0217,0.000267,0.029,0.318
What Makes You Truly Happy,Catdra Catthien,What Makes You Truly Happy,latin,calm,0.533,0.465,0.9,109.003,-16.13,0.0227,0.331,0.179,0.0356
Sex on Fire,Kings of Leon,Only By The Night,rock,sad,0.374,0.905,0.542,153.398,-5.653,0.00172,0.0104,0.054,0.136
The Highway Song,Free,Chronicles,rock,happy,0.693,0.48,0.501,104.715,-12.837,0.497,0.00088,0.0285,0.0683
I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,Avicii,I Could Be The One [Avicii vs Nicky Romero],edm,happy,0.638,0.79,0.509,127.946,-3.782,0.332,6.67e-05,0.0374,0.316
This Mess We're In,PJ Harvey,"Stories From The City, Stories From The Sea",rock,calm,0.406,0.572,0.541,126.302,-9.634,0.0266,0.186,0.0277,0.0925
Fight for Me,GAWVI,Fight for Me,pop,calm,0.477,0.599,0.681,159.924,-6.221,0.321,0.0,0.065,0.207
Lonely Together (feat. Rita Ora),Avicii,AVĪCI (01),r&b,sad,0.272,0.666,0.655,102.977,-5.309,0.134,2.12e-05,0.0612,0.0683
Fallen Angel,Three Days Grace,Human,rock,sad,0.218,0.911,0.453,137.011,-3.775,0.00554,0.0,0.0382,0.0627
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,Prayer,pop,happy,0.78,0.886,0.76,123.002,-5.356,0.0219,7.43e-06,0.0258,0.623
Cocoon - Erick Morillo & Harry Romero Remix,Erick Morillo,Cocoon (Erick Morillo & Harry Romero Remix),edm,energetic,0.489,0.899,0.714,124.009,-7.083,0.00642,0.825,0.0578,0.11
goodnight n go,Ariana Grande,Sweetener,pop,sad,0.24,0.453,0.694,110.909,-7.069,0.0213,0.0,0.0397,0.0795
